date,away_team,home_team,p_home_win,p_away_win,is_fallback
2024-10-22,NYK,BOS,0.4489,0.5511,False
2024-10-22,MIN,LAL,0.5862,0.4138,False
2024-10-23,CLE,TOR,0.5552,0.4448,False
2024-10-23,ORL,MIA,0.4668,0.5332,False
2024-10-23,CHI,NOP,0.3809,0.6191,False
2024-10-23,BKN,ATL,0.5634,0.4366,False
2024-10-23,MIL,PHI,0.539,0.461,False
2024-10-23,MEM,UTA,0.6253,0.3747,False
2024-10-23,GSW,POR,0.5191,0.4809,False
2024-10-23,PHX,LAC,0.5877,0.4123,False
2024-10-23,IND,DET,0.6088,0.3912,False
2024-10-23,CHA,HOU,0.6628,0.3372,False
2024-10-24,BOS,WAS,0.5,0.5,True
2024-10-24,SAS,DAL,0.7278,0.2722,False
2024-10-24,OKC,DEN,0.5194,0.4806,False
2024-10-24,MIN,SAC,0.5,0.5,True
2024-10-25,PHI,TOR,0.5,0.5,True
2024-10-25,BKN,ORL,0.5,0.5,True
2024-10-25,NOP,POR,0.5,0.5,True
2024-10-25,CHI,MIL,0.5,0.5,True
2024-10-25,GSW,UTA,0.5,0.5,True
2024-10-25,CHA,ATL,0.5,0.5,True
2024-10-25,MEM,HOU,0.5,0.5,True
2024-10-25,PHX,LAL,0.5,0.5,True
2024-10-25,DET,CLE,0.5,0.5,True
2024-10-25,IND,NYK,0.5,0.5,True
2024-10-26,OKC,CHI,0.5,0.5,True
2024-10-26,SAC,LAL,0.5,0.5,True
2024-10-26,DAL,PHX,0.5,0.5,True
2024-10-26,ORL,MEM,0.4854,0.5146,False
2024-10-26,BOS,DET,0.4227,0.5773,False
2024-10-26,LAC,DEN,0.5,0.5,True
2024-10-26,HOU,SAS,0.5,0.5,True
2024-10-26,CLE,WAS,0.5,0.5,True
2024-10-26,TOR,MIN,0.6782,0.3218,False
2024-10-26,MIA,CHA,0.5,0.5,True
2024-10-27,PHI,IND,0.67,0.33,False
2024-10-27,LAC,GSW,0.7462,0.2538,False
2024-10-27,MIL,BKN,0.4739,0.5261,False
2024-10-27,NOP,POR,0.3331,0.6669,False
2024-10-27,ATL,OKC,0.6221,0.3779,False
2024-10-28,WAS,ATL,0.6853,0.3147,False
2024-10-28,UTA,DAL,0.6326,0.3674,False
2024-10-28,DET,MIA,0.5177,0.4823,False
2024-10-28,MIL,BOS,0.6673,0.3327,False
2024-10-28,CLE,NYK,0.3474,0.6526,False
2024-10-28,IND,ORL,0.6927,0.3073,False
2024-10-28,POR,SAC,0.6488,0.3512,False
2024-10-28,HOU,SAS,0.4802,0.5198,False
2024-10-28,CHI,MEM,0.5335,0.4665,False
2024-10-28,DEN,TOR,0.5929,0.4071,False
2024-10-28,LAL,PHX,0.5275,0.4725,False
2024-10-29,NOP,GSW,0.7161,0.2839,False
2024-10-29,DAL,MIN,0.5545,0.4455,False
2024-10-29,DEN,BKN,0.5801,0.4199,False
2024-10-29,SAC,UTA,0.4858,0.5142,False
2024-10-30,ORL,CHI,0.5541,0.4459,False
2024-10-30,SAS,OKC,0.6656,0.3344,False
2024-10-30,DET,PHI,0.5628,0.4372,False
2024-10-30,BKN,MEM,0.5582,0.4418,False
2024-10-30,POR,LAC,0.5303,0.4697,False
2024-10-30,NOP,GSW,0.6972,0.3028,False
2024-10-30,LAL,CLE,0.6157,0.3843,False
2024-10-30,BOS,IND,0.4304,0.5696,False
2024-10-30,NYK,MIA,0.5337,0.4663,False
2024-10-30,ATL,WAS,0.5129,0.4871,False
2024-10-30,TOR,CHA,0.5723,0.4277,False
2024-10-31,SAS,UTA,0.4487,0.5513,False
2024-10-31,MIL,MEM,0.6461,0.3539,False
2024-10-31,PHX,LAC,0.5863,0.4137,False
2024-10-31,HOU,DAL,0.5127,0.4873,False
2024-11-01,LAL,TOR,0.525,0.475,False
2024-11-01,BOS,CHA,0.4957,0.5043,False
2024-11-01,NYK,DET,0.49,0.51,False
2024-11-01,DEN,MIN,0.6167,0.3833,False
2024-11-01,IND,NOP,0.4887,0.5113,False
2024-11-01,ORL,CLE,0.6575,0.3425,False
2024-11-01,SAC,ATL,0.4733,0.5267,False
2024-11-01,OKC,POR,0.4911,0.5089,False
2024-11-01,CHI,BKN,0.6273,0.3727,False
2024-11-02,BOS,CHA,0.5398,0.4602,False
2024-11-02,CLE,MIL,0.4364,0.5636,False
2024-11-02,GSW,HOU,0.5531,0.4469,False
2024-11-02,OKC,LAC,0.4924,0.5076,False
2024-11-02,UTA,DEN,0.6448,0.3552,False
2024-11-02,POR,PHX,0.6395,0.3605,False
2024-11-02,MEM,PHI,0.594,0.406,False
2024-11-02,SAC,TOR,0.476,0.524,False
