team,mean_wins,std_wins,min_wins,max_wins,p10,p25,p50,p75,p90,prob_ge_50
OKC,45.5085,4.378827211708525,29,62,40.0,43.0,46.0,49.0,51.0,0.1828
BOS,44.769,4.449543684469109,25,61,39.0,42.0,45.0,48.0,50.0,0.1466
CLE,44.4029,4.42420293273253,26,61,39.0,41.0,44.0,47.0,50.0,0.1234
MIN,43.5501,4.382908850295658,29,60,38.0,41.0,44.0,47.0,49.0,0.088
MEM,43.2707,4.431119667758949,26,62,38.0,40.0,43.0,46.0,49.0,0.0794
NYK,42.9206,4.446155152488535,24,60,37.0,40.0,43.0,46.0,49.0,0.0688
HOU,42.8211,4.371783936792846,27,60,37.0,40.0,43.0,46.0,48.0,0.0608
GSW,42.2148,4.378477013757176,27,57,37.0,39.0,42.0,45.0,48.0,0.049
DET,42.2078,4.458723938527656,25,57,36.0,39.0,42.0,45.0,48.0,0.0502
MIL,42.0776,4.407899526985671,27,61,36.0,39.0,42.0,45.0,48.0,0.0442
LAC,41.9821,4.3722510895418285,26,58,36.0,39.0,42.0,45.0,48.0,0.0406
IND,41.7036,4.325753927351882,22,57,36.0,39.0,42.0,45.0,47.0,0.0358
DEN,41.5708,4.417848725341312,26,57,36.0,39.0,42.0,45.0,47.0,0.0358
SAC,41.3582,4.4997880794544125,24,58,36.0,38.0,41.0,44.0,47.0,0.035
ORL,41.0295,4.456504207335573,24,57,35.0,38.0,41.0,44.0,47.0,0.0283
LAL,40.8878,4.423868347950727,24,55,35.0,38.0,41.0,44.0,47.0,0.0236
DAL,40.6778,4.418708766144302,24,55,35.0,38.0,41.0,44.0,46.0,0.0224
PHX,40.2477,4.45575411238096,23,57,35.0,37.0,40.0,43.0,46.0,0.0204
CHI,40.1263,4.398221039238408,23,58,34.0,37.0,40.0,43.0,46.0,0.0171
MIA,39.9699,4.411189634327782,22,59,34.0,37.0,40.0,43.0,46.0,0.0154
TOR,39.9478,4.4303357841138515,23,57,34.0,37.0,40.0,43.0,46.0,0.0154
ATL,39.9321,4.4162981772066425,22,56,34.0,37.0,40.0,43.0,46.0,0.015
POR,39.1294,4.421544485810344,22,55,34.0,36.0,39.0,42.0,45.0,0.0087
SAS,38.7495,4.391258333325466,21,56,33.0,36.0,39.0,42.0,44.0,0.0078
BKN,38.5837,4.453245368267895,24,57,33.0,36.0,39.0,42.0,44.0,0.0061
PHI,38.4009,4.416421536719547,20,53,33.0,35.0,38.0,41.0,44.0,0.006
CHA,37.7698,4.352586352962937,19,55,32.0,35.0,38.0,41.0,43.0,0.0043
UTA,37.2651,4.405657951997601,20,54,32.0,34.0,37.0,40.0,43.0,0.0029
NOP,36.8137,4.422215769272317,21,55,31.0,34.0,37.0,40.0,43.0,0.0018
WAS,35.1112,4.35667700891385,20,52,30.0,32.0,35.0,38.0,41.0,0.0007
