game_id,game_date,season,team_id,team_abbreviation,player_id,player_name,MIN,PTS,REB,AST,FGM,FGA,FG3M,FG3A,FTM,FTA,TOV,PF,PLUS_MINUS,STL,BLK
0022400061,2024-10-22,2024,1610612738,BOS,201143,Al Horford,26.083333333333332,11,3,5,4,7,3,5,0,0,0,2,19,1,1
0022400061,2024-10-22,2024,1610612738,BOS,201950,Jrue Holiday,30.518333333333334,18,4,4,7,9,4,6,0,0,0,2,23,1,0
0022400061,2024-10-22,2024,1610612738,BOS,1627759,Jaylen Brown,29.9,23,7,1,7,18,5,9,4,4,1,3,23,1,0
0022400061,2024-10-22,2024,1610612738,BOS,1628369,Jayson Tatum,30.3,37,4,10,14,18,8,11,1,2,1,1,26,1,1
0022400061,2024-10-22,2024,1610612738,BOS,1628401,Derrick White,26.631666666666668,24,3,4,8,13,6,10,2,2,0,1,21,1,0
0022400061,2024-10-22,2024,1610612738,BOS,1628436,Luke Kornet,19.316666666666666,4,3,1,2,3,0,0,0,0,0,0,2,1,1
0022400061,2024-10-22,2024,1610612738,BOS,1629674,Neemias Queta,4.333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0022400061,2024-10-22,2024,1610612738,BOS,1630202,Payton Pritchard,24.966666666666665,3,4,4,1,10,1,9,0,0,1,2,7,0,0
0022400061,2024-10-22,2024,1610612738,BOS,1630214,Xavier Tillman,17.7,2,7,2,1,6,0,3,0,0,0,1,-3,0,0
0022400061,2024-10-22,2024,1610612738,BOS,1630573,Sam Hauser,24.166666666666668,10,5,1,4,10,2,7,0,0,0,2,6,0,0
0022400061,2024-10-22,2024,1610612738,BOS,1641775,Jordan Walsh,6.083333333333333,0,0,1,0,1,0,1,0,0,0,0,-9,0,0
0022400061,2024-10-22,2024,1610612752,NYK,1626157,Karl-Anthony Towns,23.616666666666667,12,7,3,5,9,1,2,1,1,0,1,-18,0,0
0022400061,2024-10-22,2024,1610612752,NYK,1626166,Cameron Payne,20.716666666666665,11,3,4,5,10,1,4,0,0,1,3,0,1,0
0022400061,2024-10-22,2024,1610612752,NYK,1628384,OG Anunoby,34.166666666666664,4,5,3,1,7,0,4,2,2,0,3,-21,1,0
0022400061,2024-10-22,2024,1610612752,NYK,1628404,Josh Hart,24.5,12,4,3,4,6,0,2,4,6,1,0,-23,0,0
0022400061,2024-10-22,2024,1610612752,NYK,1628969,Mikal Bridges,34.61666666666667,16,0,2,7,13,2,7,0,1,1,0,-33,0,0
0022400061,2024-10-22,2024,1610612752,NYK,1628973,Jalen Brunson,24.5,22,1,2,9,14,1,2,3,3,4,3,-23,0,0
0022400061,2024-10-22,2024,1610612752,NYK,1630540,Miles McBride,25.85,22,0,2,8,10,4,5,2,3,1,1,-18,0,0
0022400061,2024-10-22,2024,1610612752,NYK,1630574,Ariel Hukporti,6.083333333333333,0,4,0,0,0,0,0,0,0,0,0,9,0,1
0022400061,2024-10-22,2024,1610612752,NYK,1630579,Jericho Sims,24.383333333333333,4,9,1,2,3,0,0,0,0,1,0,-5,0,2
0022400061,2024-10-22,2024,1610612752,NYK,1631210,Jacob Toppin,2.783333333333333,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0022400061,2024-10-22,2024,1610612752,NYK,1642278,Tyler Kolek,5.4,3,0,0,1,2,1,1,0,0,2,0,7,0,0
0022400061,2024-10-22,2024,1610612752,NYK,1642359,Pacôme Dadiet,13.383333333333333,3,1,0,1,3,1,2,0,0,0,1,10,0,0
0022400062,2024-10-22,2024,1610612747,LAL,2544,LeBron James,34.65,16,5,4,7,16,1,4,1,1,2,3,-6,0,2
0022400062,2024-10-22,2024,1610612747,LAL,203076,Anthony Davis,37.583333333333336,36,16,4,11,23,1,3,13,15,1,1,1,1,3
0022400062,2024-10-22,2024,1610612747,LAL,1626156,D'Angelo Russell,34.21666666666667,9,1,5,4,12,1,7,0,0,1,2,15,2,0
0022400062,2024-10-22,2024,1610612747,LAL,1629060,Rui Hachimura,35.083333333333336,18,5,1,7,14,1,4,3,4,0,2,19,2,1
0022400062,2024-10-22,2024,1610612747,LAL,1629216,Gabe Vincent,17.216666666666665,2,2,2,1,2,0,0,0,0,2,1,-2,0,0
0022400062,2024-10-22,2024,1610612747,LAL,1629637,Jaxson Hayes,15.333333333333334,10,4,0,4,5,0,0,2,2,0,3,-1,0,1
0022400062,2024-10-22,2024,1610612747,LAL,1630559,Austin Reaves,36.03333333333333,12,9,4,6,14,0,5,0,1,0,4,12,1,1
0022400062,2024-10-22,2024,1610612747,LAL,1631108,Max Christie,11.416666666666666,2,2,0,0,3,0,3,2,2,0,5,-5,0,0
0022400062,2024-10-22,2024,1610612747,LAL,1642261,Dalton Knecht,15.783333333333333,5,1,2,2,4,1,3,0,0,1,1,7,1,0
0022400062,2024-10-22,2024,1610612747,LAL,1642355,Bronny James,2.683333333333333,0,1,0,0,2,0,1,0,0,0,0,-5,0,0
0022400062,2024-10-22,2024,1610612750,MIN,201144,Mike Conley,20.216666666666665,5,4,2,1,7,0,5,3,3,3,1,-22,1,0
0022400062,2024-10-22,2024,1610612750,MIN,203497,Rudy Gobert,35.333333333333336,13,14,2,5,8,0,0,3,4,1,4,-10,0,1
0022400062,2024-10-22,2024,1610612750,MIN,203944,Julius Randle,34.31666666666667,16,9,4,5,10,1,3,5,7,2,3,2,0,0
0022400062,2024-10-22,2024,1610612750,MIN,204060,Joe Ingles,6.8,0,0,1,0,1,0,1,0,0,0,1,1,0,0
0022400062,2024-10-22,2024,1610612750,MIN,1628978,Donte DiVincenzo,31.55,10,3,3,3,11,2,8,2,4,1,2,-5,2,0
0022400062,2024-10-22,2024,1610612750,MIN,1629638,Nickeil Alexander-Walker,28.366666666666667,14,5,0,5,7,3,4,1,2,2,0,13,0,0
0022400062,2024-10-22,2024,1610612750,MIN,1629675,Naz Reid,26.35,12,4,1,3,8,2,4,4,4,1,3,-6,0,0
0022400062,2024-10-22,2024,1610612750,MIN,1630162,Anthony Edwards,41.06666666666667,27,6,3,10,25,5,13,2,3,4,3,0,0,0
0022400062,2024-10-22,2024,1610612750,MIN,1630183,Jaden McDaniels,16.0,6,2,1,3,8,0,3,0,0,1,5,-8,1,0
0022400063,2024-10-23,2024,1610612754,IND,204456,T.J. McConnell,15.8,14,2,4,7,8,0,0,0,0,1,0,-11,1,0
0022400063,2024-10-23,2024,1610612754,IND,1626167,Myles Turner,36.04833333333333,20,9,4,7,14,3,8,3,3,4,4,20,0,4
0022400063,2024-10-23,2024,1610612754,IND,1627783,Pascal Siakam,31.966666666666665,19,8,9,8,15,1,3,2,3,0,0,15,2,0
0022400063,2024-10-23,2024,1610612754,IND,1629614,Andrew Nembhard,34.81333333333333,8,2,7,3,8,0,2,2,2,2,3,6,1,0
0022400063,2024-10-23,2024,1610612754,IND,1630164,James Wiseman,4.633333333333334,6,1,0,2,4,0,1,2,2,0,0,-4,0,0
0022400063,2024-10-23,2024,1610612754,IND,1630167,Obi Toppin,16.033333333333335,2,1,2,1,2,0,1,0,0,0,3,-9,1,0
0022400063,2024-10-23,2024,1610612754,IND,1630169,Tyrese Haliburton,34.96666666666667,15,5,4,6,18,1,9,2,2,3,2,15,3,2
0022400063,2024-10-23,2024,1610612754,IND,1630174,Aaron Nesmith,18.755,7,2,0,2,4,1,2,2,2,0,4,-1,2,1
0022400063,2024-10-23,2024,1610612754,IND,1631097,Bennedict Mathurin,27.696666666666665,19,6,1,5,8,2,3,7,9,3,3,8,0,0
0022400063,2024-10-23,2024,1610612754,IND,1641716,Jarace Walker,6.35,3,1,1,1,2,1,2,0,0,1,2,-5,0,0
0022400063,2024-10-23,2024,1610612754,IND,1641767,Ben Sheppard,6.3,0,2,0,0,0,0,0,0,0,0,2,1,0,1
0022400063,2024-10-23,2024,1610612754,IND,1642402,Enrique Freeman,6.636666666666667,2,0,0,0,0,0,0,2,2,1,0,-5,0,0
0022400063,2024-10-23,2024,1610612765,DET,202699,Tobias Harris,35.80166666666667,13,2,1,6,13,1,6,0,0,2,3,-11,0,1
0022400063,2024-10-23,2024,1610612765,DET,203501,Tim Hardaway Jr.,28.938333333333333,14,1,1,4,9,4,7,2,2,0,2,-2,1,0
0022400063,2024-10-23,2024,1610612765,DET,1627736,Malik Beasley,27.831666666666667,14,3,1,5,13,2,6,2,3,1,2,-5,0,0
0022400063,2024-10-23,2024,1610612765,DET,1630191,Isaiah Stewart,16.973333333333333,2,4,2,1,2,0,1,0,0,2,2,5,1,1
0022400063,2024-10-23,2024,1610612765,DET,1630595,Cade Cunningham,36.55166666666667,28,5,8,10,23,2,6,6,6,2,2,-10,1,0
0022400063,2024-10-23,2024,1610612765,DET,1631093,Jaden Ivey,30.6,17,5,4,5,13,0,2,7,9,1,3,-1,1,0
0022400063,2024-10-23,2024,1610612765,DET,1631105,Jalen Duren,30.061666666666667,13,13,4,4,4,0,0,5,6,2,3,-16,0,0
0022400063,2024-10-23,2024,1610612765,DET,1631204,Marcus Sasser,3.1083333333333334,2,1,1,1,1,0,0,0,0,0,0,9,0,0
0022400063,2024-10-23,2024,1610612765,DET,1631323,Simone Fontecchio,14.841666666666667,0,1,0,0,4,0,2,0,0,1,3,3,0,0
0022400063,2024-10-23,2024,1610612765,DET,1641842,Ronald Holland II,15.291666666666666,6,3,0,2,6,0,3,2,2,1,1,-2,2,0
0022400064,2024-10-23,2024,1610612737,ATL,203991,Clint Capela,19.516666666666666,6,7,1,3,5,0,0,0,0,1,0,0,1,1
0022400064,2024-10-23,2024,1610612737,ATL,203992,Bogdan Bogdanović,27.833333333333332,8,2,2,2,6,2,6,2,2,2,3,-3,0,2
0022400064,2024-10-23,2024,1610612737,ATL,1629027,Trae Young,36.678333333333335,30,5,12,7,16,2,6,14,16,3,1,12,1,1
0022400064,2024-10-23,2024,1610612737,ATL,1629631,De'Andre Hunter,25.783333333333335,12,6,1,3,10,2,4,4,5,0,5,10,2,0
0022400064,2024-10-23,2024,1610612737,ATL,1630168,Onyeka Okongwu,28.483333333333334,28,8,1,11,12,0,0,6,6,2,1,4,0,3
0022400064,2024-10-23,2024,1610612737,ATL,1630249,Vít Krejčí,11.321666666666667,3,1,2,1,2,0,1,1,1,0,1,-8,0,0
0022400064,2024-10-23,2024,1610612737,ATL,1630552,Jalen Johnson,36.85,11,10,4,4,9,0,3,3,8,6,3,-3,3,1
0022400064,2024-10-23,2024,1610612737,ATL,1630700,Dyson Daniels,34.53333333333333,15,5,2,6,12,2,4,1,4,1,4,7,5,1
0022400064,2024-10-23,2024,1610612737,ATL,1642258,Zaccharie Risacher,19.0,7,1,0,2,8,1,4,2,4,1,2,1,0,0
0022400064,2024-10-23,2024,1610612751,BKN,203471,Dennis Schröder,34.333333333333336,13,3,7,5,16,2,6,1,2,5,4,-4,1,0
0022400064,2024-10-23,2024,1610612751,BKN,1627732,Ben Simmons,24.2,6,5,8,3,4,0,0,0,0,6,5,-8,0,1
0022400064,2024-10-23,2024,1610612751,BKN,1627827,Dorian Finney-Smith,29.56,8,8,1,3,10,2,7,0,0,1,5,-4,1,2
0022400064,2024-10-23,2024,1610612751,BKN,1629003,Shake Milton,6.333333333333333,0,0,0,0,1,0,0,0,0,0,0,8,0,0
0022400064,2024-10-23,2024,1610612751,BKN,1629651,Nic Claxton,15.416666666666666,7,5,0,3,4,0,0,1,4,0,3,7,1,1
0022400064,2024-10-23,2024,1610612751,BKN,1629661,Cameron Johnson,32.016666666666666,14,4,0,4,10,1,6,5,6,0,3,-10,1,1
0022400064,2024-10-23,2024,1610612751,BKN,1630533,Ziaire Williams,15.855,9,3,1,3,6,2,3,1,2,1,2,5,0,0
0022400064,2024-10-23,2024,1610612751,BKN,1630560,Cam Thomas,33.718333333333334,36,5,3,14,27,7,13,1,1,2,4,-8,3,0
